from	to	sign
PLK1	TPX2	+
PP2A	AURKAPresent	-
ENSA	PP2A	-
PP1	PP2A	+
AURKAActive	NEDD9	+
AURKAActive	hCPEB	+
CDK1CCNBComplex	GWL_MASTL	+
PP2A	GWL_MASTL	-
SpindleAssembly	CentrosomeMat	-
CDK1CCNBComplex	CentrosomeMat	+
PLK1	WEE1	-
AURKAActive	CDC25B	+
Cytokinesis	CDC25B	-
PLK1	CDC25B	+
Cytokinesis	BORA	-
GSK3B	BORA	+
PLK1	BORA	-
AURKAActive	STMN	-
STMN	MT	-
SpindleAssembly	Cytokinesis	+
CentrosomeMat	Cytokinesis	-
CentrosomeMat	SpindleAssembly	+
Cytokinesis	SpindleAssembly	-
AURKAActive	PLK1	+
STMNCanAct	PLK1	+
MTCanAct	PLK1	+
STMN	PLK1	-
MT	PLK1	+
GWL_MASTL	ENSA	+
CDK1CCNBComplex	PP1	-
AURKAActive	PP1	-
Cytokinesis	PP1	-
Cytokinesis	CDK1CCNBComplex	-
CDC25B	CDK1CCNBComplex	+
hCPEB	CDK1CCNBComplex	+
WEE1	CDK1CCNBComplex	-
AURKAPresent	AURKAActive	+
AURKAActive	AURKAActive	-
AJUBA	AURKAActive	+
NEDD9	AURKAActive	+
TPX2	AURKAActive	+
BORA	AURKAActive	+
PP1	AURKAActive	-